"X","seuil","delta_1","n_switchers"
NA,0.00827448652591556,0.410677741870134,6268
NA,0.00737690901849419,2.92982679890143,6600
NA,0.00304889495484531,-0.698235807086736,8500
NA,0.00277612126898021,-1.16124035496843,8646
NA,0.00466068198904395,1.86796354716001,7691
NA,0.00931924900505692,1.60620919900712,5952
NA,0.00531945280730724,3.36193613055079,7408
NA,0.0171565543068573,-0.660330961581991,4103
NA,0.000916623333469033,-5.95964937521101,10091
NA,0.0088440014841035,0.795232574340985,6093
NA,0.0159784969128668,-0.38954852078358,4321
NA,0.0024379851995036,-1.54981871805238,8865
NA,0.0112189596751705,0.384764307811583,5379
NA,0.0041306277923286,0.543374177291946,7967
NA,0.00255063300486654,-2.1776030681226,8792
NA,0.0150661572860554,-0.107048766385181,4501
